Package,Version
abind,1.4-5
anytime,0.3.9
BH,1.78.0-0
classInt,0.4-3
countrycode,1.3.0
covidregionaldata,0.9.2
cowplot,1.1.1
crosstalk,1.2.0
crul,1.2.0
dichromat,2.0-0
e1071,1.7-9
forecast,8.16
fracdiff,1.5-1
ggthemes,4.2.4
httpcode,0.3.0
jqr,1.2.2
jsonify,1.2.1
jsonvalidate,1.3.2
kableExtra,1.3.4
lazyeval,0.2.2
leafem,0.1.6
leaflet,2.0.4.1
leaflet.providers,1.9.0
leafsync,0.1.0
lmtest,0.9-39
lwgeom,0.2-8
markdown,1.1
protolite,2.1.1
proxy,0.4-26
quadprog,1.5-8
quantmod,0.4.18
rapidjsonr,1.2.0
RcppArmadillo,0.10.8.1.0
sp,1.4-6
stars,0.5-5
systemfonts,1.0.3
timeDate,3043.102
triebeard,0.3.0
tsbox,0.3.1
tseries,0.10-49
TTR,0.24.3
units,0.7-2
urca,1.3-0
urltools,1.7.3
V8,4.0.0
widgetframe,0.3.1
wk,0.6.0
XML,3.99-0.8
xts,0.12.1
zoo,1.8-9
car,0
MASS,0
qcc,0
FrF2,0
latex2exp,0
ROCR,0
caTools,0
ggrepel,0
ggExtra,0
qqplotr,0
spData,0
EpiEstim,0
tufte,0.12
tufterhandout,1.2.1